"Language Packs","Language Packs"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>"
"Canada","Canada"
"France","France"
"Guiana","Guiana"
"French (Canada)","French (Canada)"
"French (France)","French (France)"
"French (Guiana)","French (Guiana)"
"French (Custom)","French (Custom)"
"French language package fr_CA - Community Edition (CE)","French language package fr_CA - Community Edition (CE)"
"French language package fr_FR - Community Edition (CE)","French language package fr_FR - Community Edition (CE)"
"French language package fr_GY - Community Edition (CE)","French language package fr_GY - Community Edition (CE)"
"French language package fr_ZZ - Community Edition (CE)","French language package fr_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","The <span style='color:red'>%s</span> language pack in version <span style='color:red'>%s</span> has been successfully installed."
"On the <a href='%s'>Magento Connect page of the French language pack</a>, you can find more information on the latest versions.","On the <a href='%s'>Magento Connect page of the French language pack</a>, you can find more information on the latest versions."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:"
"Development of current language pack versions","Development of current language pack versions"
"Report an error / send in patches, also happy for both published releases","Report an error / send in patches, also happy for both published releases"
"Alternative Downloads (regardless of official sources)","Alternative Downloads (regardless of official sources)"
"Copy / forks for their own purposes","Copy / forks for their own purposes"
"Active participation in the language pack","Active participation in the language pack"
"View Preview versions & test","View Preview versions & test"
"Note for detailed information, the README file on the GitHub page.","Note for detailed information, the README file on the GitHub page."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!"
"powered by","powered by"
"and","and"
"Translate Magento Connect Manager","Translate Magento Connect Manager"
"To install the translation for the Magento Connect Manager, proceed as follows:","To install the translation for the Magento Connect Manager, proceed as follows:"
"In your Magento root directory in the subfolder ""%s"" rename the folder ""%s"" into ""%s"".","In your Magento root directory in the subfolder ""%s"" rename the folder ""%s"" into ""%s""."
"The directory","The directory"
"or","or"
"from","from"
"rename into ""template""","rename into ""template"""
"The Magento Connect Manager should be changed to French now.","The Magento Connect Manager should be changed to <span style='color:red'>French</span> now."
"Please note:","Please note:"
"If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!","If Magento is updated, in particular the module ""Mage_Downloader"", the settings of the Connect Manager will be overwritten!"
"The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps.","The same applies to the TinyMCE editor. Run in the case a ""Reinstall"" the language pack and repeat the described steps."
"Using your own translations","Using your own translations"
"Recommended extensions","Recommended extensions"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions."
"Specific market adjustment for","Specific market adjustment for"
"French and Canadian stores","French and Canadian stores"
"French and European stores","French and European stores"
"French and Latin American stores","French and Latin American stores"
"Preconfigured for the French market","Preconfigured for the French market"
"Currently not available","Currently not available"
"Common payment methods","Common payment methods"
"Debit / direct debit","Debit / direct debit"
"Cash On Delivery","Cash On Delivery"
"Payment in Advance","Payment in advance"
"Extension Key for the","Extension Key for the"
"on","on"
"Translate TinyMCE","Translate TinyMCE"
"Use French language for TinyMCE Editor?","Use French language for TinyMCE Editor?"
"custom stores","custom stores"
"This is your individual language pack that is only managed and maintained by you.","This is your individual language pack that is only managed and maintained by you."
"Adjust the file ""%s"" with your name and the link to your website.","Adjust the file ""%s"" with your name and the link to your website."
"Fill out the language files in ""app/locale/de_ZZ"" with your own translations and never lose again your customizations.","Fill out the language files in ""app/locale/de_ZZ"" with your own translations and never lose again your customizations."
