"Language Packs","Paquet de langue"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>"
"Canada","Canada"
"France","France"
"Guiana","Guyane"
"French (Canada)","Français (Canada)"
"French (France)","Français (France)"
"French (Guiana)","Français (Guyane)"
"French (Custom)","Français (personnalisé)"
"French language package fr_CA - Community Edition (CE)","Paquet de langue française fr_CA - Community Edition (CE)"
"French language package fr_FR - Community Edition (CE)","Paquet de langue française fr_FR - Community Edition (CE)"
"French language package fr_GY - Community Edition (CE)","Paquet de langue française fr_GY - Community Edition (CE)"
"French language package fr_ZZ - Community Edition (CE)","Paquet de langue française fr_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","Le pack de langue <span style='color:red'>%s</span> dans la version <span style='color:red'>%s</span> a été installé avec succès."
"On the <a href='%s'>Magento Connect page of the French language pack</a>, you can find more information on the latest versions.","Sur la <a href='%s'>Magento Connect page du pack de langue française</a> que vous trouverez de plus amples informations sur les versions actuelles."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Pour les intéressés, il est un <a href='%s'>dépôt GitHub</a>. Il est prévu pour les fins suivantes:"
"Development of current language pack versions","Développement de versions de pack de langues actuelle"
"Report an error / send in patches, also happy for both published releases","Signaler une erreur / envoyer un patch, aussi heureux pour les deux communiqués publiés"
"Alternative Downloads (regardless of official sources)","Alternative Downloads (regardless of official sources)"
"Copy / forks for their own purposes","Copy / forks for their own purposes"
"Active participation in the language pack","La participation active dans la language pack"
"View Preview versions & test","View Preview versions & test"
"Note for detailed information, the README file on the GitHub page.","Remarque pour des informations détaillées, le fichier README sur la page GitHub."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","Afin d'assurer la couverture de la traduction Magento, s'il vous plaît voir les informations dans les paragraphes plus bas!"
"powered by","alimenté par"
"and","et"
"Using your own translations","Utilisation de vos propres traductions"
"Recommended extensions","Extensions recommandées"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","Le pack de langue installée seulement fournit des traductions de textes existants dans Magento. Si vous voulez préparer votre boutique Magento sur les exigences juridiques en %s ou développer des modes de paiement, nous vous recommandons d'installer les extensions suivantes."
"Specific market adjustment for","Ajustement du marché spécifique pour"
"French and Canadian stores","les magasins français et canadiens"
"French and European stores","les magasins français et européens"
"French and Latin American stores","les magasins français et d'Amérique latine"
"Preconfigured for the French market","Preconfigurated pour le marché française"
"Currently not available","Actuellement pas disponible"
"Common payment methods","Des modes de paiement"
"Debit / direct debit","Débit / débit direct"
"Cash On Delivery","Paiement à la livraison"
"Payment in Advance","Paiement anticipé"
"Extension Key for the","EClé d'extension pour le"
"on","sur"
"custom stores","personnalisés magasins"
"This is your individual language pack that is only managed and maintained by you.","Il est son propre pack individuel de la langue qui est seulement géré et entretenu que par vous."
"Adjust the file ""%s"" with your name and the link to your website.","Réglez le fichier ""%s"" avec votre nom et le lien à votre site web."
"Fill out the language files in ""app/locale/de_ZZ"" with your own translations and never lose again your customizations.","Remplissez les fichiers de langue dans ""app/locale/de_ZZ"" avec vos propres traductions et ne jamais perdre à nouveau vos personnalisations."
