"Currency","Monnaie"
"Custom currency symbols were applied successfully.","Les symboles des devises ont été chargés avec succès."
"Manage Currency","Gérer les devises"
"Manage Currency Rates","Gérer le taux des devises"
"Manage Currency Symbols","Gérer les symboles de devises"
"Rates","Taux"
"Save Currency Rates","Enregistrer les taux de change"
"Save Currency Symbols","Enregistrer les symboles des devises"
"Symbol","Symbole"
"Symbols","Symboles"
"System","Système"
"Use Default","Utiliser la valeur standard"
"Use Standard","Utiliser la valeur standard"
"Use Website","Utiliser le site"
