"Language Packs","Paquetes de idioma"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Atención: Su paquete de idioma no coincide con la versión de Magento. Obtenga más información <a href='%s'>aquí</a>."
"Canada","Canadá"
"France","França"
"Guiana","Guiana"
"French (Canada)","Francês (Canadá)"
"French (France)","Francês (França)"
"French (Guiana)","Francês (Guiana)"
"French (Custom)","Francês (personalizado)"
"French language package fr_CA - Community Edition (CE)","Pacote de língua francesa fr_CA - Community Edition (CE)"
"French language package fr_FR - Community Edition (CE)","Pacote de língua francesa fr_FR - Community Edition (CE)"
"French language package fr_GY - Community Edition (CE)","Pacote de língua francesa fr_GY - Community Edition (CE)"
"French language package fr_ZZ - Community Edition (CE)","Pacote de língua francesa fr_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","O pacote de idiomas <span style='color:red'>%s</span> na versão <span style='color:red'>%s</span> foi instalado com sucesso."
"On the <a href='%s'>Magento Connect page of the French language pack</a>, you can find more information on the latest versions.","Na <a href='%s'>Magento Connect página do pacote de idioma francês</a> você pode encontrar mais informações sobre as últimas versões."
"For those interested there is a <a href='%s'>GitHub repository</a>. It is provided for the following purposes:","Para os interessados, há uma <a href='%s'>repositório GitHub</a>. Ele vem com as seguintes finalidades:"
"Development of current language pack versions","Desenvolvimento de versões de idioma atual do pacote"
"Report an error / send in patches, also happy for both published releases","Señalar un error / enviar parches, también feliz para ambas publicaciones liberados"
"Alternative Downloads (regardless of official sources)","Descargas alternativos (sin tener en cuenta las fuentes oficiales)"
"Copy / forks for their own purposes","Copiar / horquillas para sus propios fines"
"Active participation in the language pack","Participación activa en el paquete de idioma"
"View Preview versions & test","Ver y probar las versiones de vista previa"
"Note for detailed information, the README file on the GitHub page.","Nota: Para obter informações detalhadas, o arquivo LEAME/README no página GitHub."
"In order to ensure the translation Magento coverage, please see the information in the lower paragraphs!","A fim de garantir a cobertura de tradução Magento, por favor, consulte as informações abaixo de parágrafos!"
"powered by","distribuído por"
"and","e"
"Using your own translations","Usando suas próprias traduções"
"Recommended extensions","Extensões recomendadas"
"The installed language pack only provides translations of in Magento existing texts. If you want to prepare your Magento store on the legal requirements in %s or expand common payment methods, we recommend to install the following additional extensions.","O pacote de idiomas instalados apenas fornece traduções de textos existentes no Magento. Se você quiser preparar sua loja Magento sobre os requisitos legais na %s ou expandir os métodos de pagamento comuns, então nós recomendamos que você instale as seguintes extensões adicionais."
"Specific market adjustment for","Definindo mercado específico para"
"French and Canadian stores","lojas francesas e canadenses"
"French and European stores","lojas francesas e europeias"
"French and Latin American stores","lojas francesas e latino-americanos"
"Preconfigured for the French market","Preconfigurated para o mercado francês"
"Currently not available","Indisponível no momento"
"Common payment methods","Métodos de pagamento comuns"
"Debit / direct debit","Débito / débito directo"
"Cash On Delivery","Contra reembolso"
"Payment in Advance","Pago por adelantado"
"Extension Key for the","Chave de extensão para o"
"on","em"
"custom stores","lojas personalizadas"
"This is your individual language pack that is only managed and maintained by you.","É o seu próprio pacote de idioma pessoal que é gerido e mantido apenas por você."
"Adjust the file ""%s"" with your name and the link to your website.","Defina o arquivo ""%s"" com seu nome e link para seu site."
"Fill out the language files in ""app/locale/de_ZZ"" with your own translations and never lose again your customizations.","Preencha os arquivos de idioma em ""app/locale/de_ZZ"" com suas próprias traduções e nunca perder suas personalizações novamente."
